Time,FPR
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0033333333333333335
5,0.0
6,0.0
7,0.0
8,0.0016666666666666668
9,0.0016666666666666668
10,0.0016666666666666668
11,0.005
12,0.0033333333333333335
13,0.0033333333333333335
14,0.0033333333333333335
15,0.0
16,0.0033333333333333335
17,0.0016666666666666668
18,0.006734006734006734
19,0.013333333333333334
20,0.0033333333333333335
21,0.01
22,0.006666666666666667
23,0.013333333333333334
24,0.0033333333333333335
25,0.0033333333333333335
26,0.006666666666666667
27,0.01
28,0.006666666666666667
29,0.006666666666666667
30,0.003401360544217687
31,0.006802721088435374
32,0.015
33,0.0016666666666666668
34,0.015151515151515152
35,0.008333333333333333
36,0.01
37,0.006666666666666667
38,0.008333333333333333
39,0.013333333333333334
40,0.01
41,0.011666666666666667
42,0.01
43,0.005050505050505051
44,0.011666666666666667
45,0.006666666666666667
46,0.013333333333333334
47,0.008333333333333333
48,0.011666666666666667
49,0.01
50,0.013333333333333334
51,0.01
52,0.02356902356902357
53,0.0033333333333333335
54,0.011666666666666667
55,0.016666666666666666
56,0.005
57,0.015
58,0.021885521885521887
59,0.013333333333333334
60,0.016666666666666666
61,0.025
62,0.021885521885521887
63,0.016835016835016835
64,0.013333333333333334
65,0.016835016835016835
66,0.011666666666666667
67,0.021666666666666667
68,0.021666666666666667
69,0.015
70,0.020202020202020204
71,0.016666666666666666
72,0.028333333333333332
73,0.018333333333333333
74,0.025
75,0.020202020202020204
76,0.018518518518518517
77,0.018333333333333333
78,0.02
79,0.02666666666666667
80,0.016666666666666666
81,0.02
82,0.015
83,0.023333333333333334
84,0.015306122448979591
85,0.018333333333333333
86,0.013333333333333334
87,0.013468013468013467
88,0.023333333333333334
89,0.02666666666666667
90,0.018333333333333333
91,0.021885521885521887
92,0.022569444444444444
93,0.015
94,0.025
95,0.026936026936026935
96,0.029209621993127148
97,0.02356902356902357
98,0.02666666666666667
99,0.025
